1993	–	–	–	–	–	–	–	20	22	23	26	28	24
1994	28	24	24	28	27	32	32	32	33	36	33	29	30
1995	29	32	32	34	36	29	32	28	33	27	33	33	32
1996	35	37	37	40	42	42	50	55	56	55	52	53	48
1997	53	56	56	52	57	57	51	53	50	45	47	48	52
1998	48	60	61	55	54	54	48	40	34	34	29	31	45
1999	29	28	27	30	29	23	26	27	29	30	32	32	29
2000	32	32	32	34	35	36	41	44	36	36	44	43	37
2001	39	38	32	23	23	23	24	25	27	28	33	33	29
2002	31	36	33	38	38	38	39	37	35	35	33	33	36
2003	33	33	32	28	29	33	36	34	31	26	24	25	30
2004	25	26	24	30	29	26	27	28	29	29	26	25	27
2005	25	25	27	25	24	23	24	22	17	23	23	22	23
2006	22	26	26	28	29	29	30	30	35	27	22	24	27
2007	25	23	24	21	18	18	21	20	16	20	23	22	21
2008	23	18	24	28	27	28	32	29	30	30	32	34	28
2009	31	28	29	41	40	39	41	40	36	56	56	58	40
2010	58	57	59	58	58	58	56	56	66	69	71	73	62
2011	72	71	70	71	71	67	69	65	65	64	66	66	68
2012	68	70	75	65	65	62	54	54	56	54	54	55	61
2013	56	59	61	63	63	65	75	72	65	69	78	76	67
2014	77	70	73	72	72	69	61	61	70	44	40	41	63
2015	41	40	34	35	35	32	30	33	34	43	38	34	36
2016	35	34	31	27	27	27	16	16	17	15	15	15	23
